"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"14683","ENSMUSG00000079658",2.18112564527403,7.17327534230521,11.229398671844,1.118546953381e-08,1.83629571032639e-06,10.3120806967999,"Eloc"
"15015","ENSMUSG00000086316",1.39265852909035,4.71376825140822,11.1491814888774,1.23161756875584e-08,1.83629571032639e-06,10.2542052379351,"Nbdy"
"16526","ENSMUSG00000110373",2.2153237743178,2.40283963003902,11.2716444074334,1.06347026569265e-08,1.83629571032639e-06,10.3328944653374,"Gm42303"
"16565","ENSMUSG00000110841",10.5813610175522,-3.20419419669429,11.0990867575716,1.30832376511418e-08,1.83629571032639e-06,7.7816229546981,"Gpx4-ps2"
"16777","ENSMUSG00000114133",1.48936370576683,5.15424660853276,11.1775298980736,1.19033401274369e-08,1.83629571032639e-06,10.27896096139,"Btf3l4b"
"17361","ENSMUSG00000121795",2.50711670444112,2.44441192100998,11.2400343486558,1.10440213564107e-08,1.83629571032639e-06,10.3037734860365,"B230303A05Rik"
"1907","ENSMUSG00000020003",1.81238879058652,4.78890872827583,11.0923343821703,1.31904409533037e-08,1.83653147481039e-06,10.1827385303272,"Pex7"
"239","ENSMUSG00000001729",-1.51789794837158,7.96530211562905,-11.0802069888658,1.33853236758419e-08,1.84887439090756e-06,10.1356666895169,"Akt1"
"6504","ENSMUSG00000030327",1.02784561309643,6.70599933961924,11.0730898370243,1.35011121307507e-08,1.85018390176051e-06,10.1224522095955,"Necap1"
"5468","ENSMUSG00000028156",1.21592539744186,7.39872886516521,11.053835158513,1.38197160664564e-08,1.8644832435706e-06,10.0956481447617,"Eif4e"
"13193","ENSMUSG00000061410",-1.30868790282159,7.09679230699702,-11.055204896297,1.37967901671485e-08,1.8644832435706e-06,10.1175965024149,"Zcchc14"
"6","ENSMUSG00000000058",2.36088536131967,4.82469900628115,10.9957263402862,1.48304594066269e-08,1.86941467551555e-06,10.0596860705069,"Cav2"
"742","ENSMUSG00000005510",1.01866174921333,6.28401582216372,11.0174363119299,1.44439641682409e-08,1.86941467551555e-06,10.0603844530362,"Ndufs3"
"891","ENSMUSG00000006651",-1.55691697621005,9.14031503967478,-10.9316145125932,1.60371301849727e-08,1.86941467551555e-06,9.94902135323572,"Aplp1"
"990","ENSMUSG00000008140",-1.79529806380284,6.72135201254575,-10.9700482478309,1.53017882879558e-08,1.86941467551555e-06,10.0321251588419,"Emc10"
"1928","ENSMUSG00000020056",1.60328813136132,3.88990560013952,10.9294241638855,1.60801494442286e-08,1.86941467551555e-06,9.99877539987226,"Washc3"
"2184","ENSMUSG00000020538",-2.1051985665991,5.57127653540963,-10.9928400113899,1.48826630847011e-08,1.86941467551555e-06,10.070358211804,"Srebf1"
"2208","ENSMUSG00000020594",1.00952072151967,7.77422608367411,10.9765659584439,1.51806702880339e-08,1.86941467551555e-06,10.000403368677,"Pum2"
"2588","ENSMUSG00000021294",-2.23411707198442,5.29046289382723,-10.9236317367303,1.61945049761563e-08,1.86941467551555e-06,9.97840923997224,"Kif26a"
"3450","ENSMUSG00000023089",1.59614336811413,5.7889918493114,10.9761391380425,1.51885706930921e-08,1.86941467551555e-06,10.016804057214,"Ndufa5"
"5084","ENSMUSG00000027346",1.48801495539967,6.37117277367152,10.9223788555588,1.62193527926251e-08,1.86941467551555e-06,9.94038484666399,"Gpcpd1"
"5160","ENSMUSG00000027499",1.78707455848014,9.59868443834008,10.9297635695107,1.60734753970591e-08,1.86941467551555e-06,9.95611334524088,"Pkia"
"5239","ENSMUSG00000027669",0.90163597656208,6.71191930807863,10.9392357421634,1.58883939662912e-08,1.86941467551555e-06,9.95762999989963,"Gnb4"
"5277","ENSMUSG00000027777",1.54666850192724,6.75076642108838,10.9577409357461,1.55332940390609e-08,1.86941467551555e-06,9.9798404582989,"Schip1"
"6031","ENSMUSG00000029211",1.51820046221224,5.05600304754294,11.0041902397311,1.46784922096297e-08,1.86941467551555e-06,10.0694224271837,"Gabra4"
"6417","ENSMUSG00000030123",-1.77598368925229,6.72298566979987,-10.9647684309293,1.54006530375344e-08,1.86941467551555e-06,10.024950351772,"Plxnd1"
"9369","ENSMUSG00000038690",1.87771653940211,6.85430937057153,11.0082645366941,1.46059282079191e-08,1.86941467551555e-06,10.042289845687,"Atp5mf"
"10734","ENSMUSG00000043857",-1.75556723766312,6.90134905262456,-11.0151763393157,1.44836954923457e-08,1.86941467551555e-06,10.0819807206037,"Mgat5b"
"11925","ENSMUSG00000051079",3.75937005347371,0.206899672995869,11.0042552073881,1.46773321317518e-08,1.86941467551555e-06,9.5813381772561,"Rgs13"
"12429","ENSMUSG00000054808",-1.52084216360113,6.6072122440907,-11.040181861359,1.40504559266064e-08,1.86941467551555e-06,10.1138981965193,"Actn4"
"13298","ENSMUSG00000062352",1.71788497924795,4.49165983665832,10.9632096199439,1.54299710328075e-08,1.86941467551555e-06,10.0320490323057,"Itgb1bp1"
"14713","ENSMUSG00000081104",-5.14294476134347,0.0511277471118905,-10.9611650086287,1.5468515583452e-08,1.86941467551555e-06,6.61919070404495,"Gm15989"
"15173","ENSMUSG00000089704",-1.31615082699308,7.25555318531879,-10.9297003465704,1.60747183858794e-08,1.86941467551555e-06,9.95946797442612,"Galnt2"
"7901","ENSMUSG00000033819",-1.69346448738044,5.4471961838949,-10.9121835828294,1.64230586046286e-08,1.8757122643075e-06,9.97753236602436,"Ppp1r16a"
"17164","ENSMUSG00000120418",3.07053882296868,0.73388844427145,10.9088851593959,1.64895412801108e-08,1.8757122643075e-06,9.55617766347788,"Gm31115"
"7930","ENSMUSG00000033940",1.4722177195098,6.83804500617339,10.8947070441296,1.67785771075124e-08,1.88429578480807e-06,9.90082433553472,"Brk1"
"8160","ENSMUSG00000034685",-2.72370486392324,7.24389388187681,-10.8893198394021,1.68898036330763e-08,1.88429578480807e-06,9.93842302714406,"Fam171a2"
"8610","ENSMUSG00000036309",2.10156499077789,8.82344553284886,10.8928030253317,1.68177993838946e-08,1.88429578480807e-06,9.90453568060031,"Skp1"
"4322","ENSMUSG00000025630",2.44114414370299,6.19278306214081,10.8687934546916,1.73208096621763e-08,1.89592057459445e-06,9.87665912896754,"Hprt"
"4528","ENSMUSG00000026154",2.77049525413513,3.66031336388144,10.8768957078699,1.71493057832396e-08,1.89592057459445e-06,9.93532394835765,"Sdhaf4"
"12199","ENSMUSG00000053024",-1.9306532149333,7.74593359219787,-10.8706951943129,1.72803922154799e-08,1.89592057459445e-06,9.88713574614423,"Cntn2"
"4435","ENSMUSG00000025939",1.47191266177034,5.38302734243216,10.8552668553524,1.76111935646314e-08,1.91565757999278e-06,9.87753573041401,"Ube2w"
"3520","ENSMUSG00000023861",1.7051098557768,6.91719892011753,10.8289203588023,1.81916949651736e-08,1.96569845248652e-06,9.818970935096,"Mpc1"
"11741","ENSMUSG00000049823",-2.75053927135557,5.07493295143408,-10.8242310223347,1.82971241842574e-08,1.96569845248652e-06,9.82193576994961,"Zbtb12"
"4349","ENSMUSG00000025739",3.37161748255082,1.02136784076464,10.8118935099165,1.85776084417967e-08,1.98358710012902e-06,9.49627223169794,"Gng13"
"2105","ENSMUSG00000020390",2.27197362020677,6.79849014166976,10.8031424382095,1.87793160549916e-08,1.99289766232362e-06,9.78927572531014,"Ube2b"
"11728","ENSMUSG00000049744",3.13459133135301,1.34644274482461,10.7979904903982,1.88991493463528e-08,1.99345936499348e-06,9.62901045592838,"Arhgap15"
"2587","ENSMUSG00000021290",2.71820375909474,6.35345886230016,10.7588488690506,1.98364539280199e-08,2.03078614213682e-06,9.73882692551071,"Atp5mj"
"3147","ENSMUSG00000022463",-1.63949645974132,7.72407906363683,-10.7611363337103,1.97803447154549e-08,2.03078614213682e-06,9.74544842528509,"Srebf2"
"9946","ENSMUSG00000040488",-2.12108173084613,4.99982288177832,-10.7723619440865,1.95074176591029e-08,2.03078614213682e-06,9.78443487611693,"Ltbp4"
"14044","ENSMUSG00000071866",1.93371220160263,10.1776231043648,10.7746717830039,1.9451755154107e-08,2.03078614213682e-06,9.76958240718297,"Ppia"
"14535","ENSMUSG00000078861",3.31314551226428,3.29388922184573,10.760448122586,1.97972081454872e-08,2.03078614213682e-06,9.79403266677036,"Zfp931"
"7777","ENSMUSG00000033352",1.01829594563346,7.05359456652934,10.7371882438774,2.03761987941366e-08,2.05364780664013e-06,9.70238236657295,"Map2k4"
"13306","ENSMUSG00000062397",1.02885590515916,7.73339764951166,10.7386582878197,2.03390804080925e-08,2.05364780664013e-06,9.70399079525301,"Zfp706"
"15284","ENSMUSG00000090733",2.24665426867196,8.12260326046967,10.7357035656561,2.04137595121088e-08,2.05364780664013e-06,9.70384886378896,"Rps27"
"2865","ENSMUSG00000021917",1.69879446630557,6.7079714869815,10.7127413805523,2.10041080817328e-08,2.10089366123263e-06,9.67446695424799,"Spcs1"
"1141","ENSMUSG00000010803",1.49010734212177,5.8196904253869,10.6898437484177,2.1610829665587e-08,2.14922788285643e-06,9.65968790578453,"Gabra1"
